,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs,Perc_Difference_abs
581,WetDep_NH4_mgm2,2011,12,1.6578425304828888,1.8399992066115702,2011-12-01,1.1815110793902779,1.4214069753652272,0.18215667612868147,0.5479667897057332
582,WetDep_NH4_mgm2,2012,1,2.4414588896801757,2.6039356509433964,2012-01-01,1.1815110793902779,1.4214069753652272,0.16247676126322075,1.3749098431449278
583,WetDep_NH4_mgm2,2012,2,1.8768328366830649,2.1641031696428574,2012-02-01,1.1815110793902779,1.4214069753652272,0.28727033295979254,0.7237716117593329
584,WetDep_NH4_mgm2,2012,3,3.208633190454358,3.7297971379310346,2012-03-01,1.1815110793902779,1.4214069753652272,0.5211639474766767,2.0462076601609196
585,WetDep_NH4_mgm2,2012,4,2.7287779417248035,3.112723194915254,2012-04-01,1.1815110793902779,1.4214069753652272,0.3839452531904506,1.5880756708218926
586,WetDep_NH4_mgm2,2012,5,4.386907569564741,4.869559436241611,2012-05-01,1.1815110793902779,1.4214069753652272,0.48265186667686955,3.2768865903160815
587,WetDep_NH4_mgm2,2012,6,2.2669036358679606,2.2802366055045873,2012-06-01,1.1815110793902779,1.4214069753652272,0.013332969636626668,1.2610220582721305
588,WetDep_NH4_mgm2,2012,7,1.9657443318405226,2.1344516470588237,2012-07-01,1.1815110793902779,1.4214069753652272,0.16870731521830118,0.8799207013278298
589,WetDep_NH4_mgm2,2012,8,2.8194036732603167,3.072533504347826,2012-08-01,1.1815110793902779,1.4214069753652272,0.2531298310875094,1.7296223363456231
590,WetDep_NH4_mgm2,2012,9,2.036310191030614,2.08910271,2012-09-01,1.1815110793902779,1.4214069753652272,0.052792518969386304,1.0103846128932934
591,WetDep_NH4_mgm2,2012,10,2.8081272150071253,3.3592651056338028,2012-10-01,1.1815110793902779,1.4214069753652272,0.5511378906266775,1.6118619291321479
592,WetDep_NH4_mgm2,2012,11,1.394082353607371,1.405223067961165,2012-11-01,1.1815110793902779,1.4214069753652272,0.011140714353794046,0.38609092159120206
593,WetDep_NH4_mgm2,2012,12,3.1377378893773384,3.5858758248175184,2012-12-01,1.1815110793902779,1.4214069753652272,0.44813793544018,1.9949159102192546
594,WetDep_NH4_mgm2,2013,1,1.9743126532390511,2.2548132432432433,2013-01-01,1.1815110793902779,1.4214069753652272,0.28050059000419214,0.8322375925621093
595,WetDep_NH4_mgm2,2013,2,1.694659400428713,1.8355073565217392,2013-02-01,1.1815110793902779,1.4214069753652272,0.14084795609302625,0.611546560139157
596,WetDep_NH4_mgm2,2013,3,2.856877072682579,3.2659066147540985,2013-03-01,1.1815110793902779,1.4214069753652272,0.40902954207151954,1.7137034142908145
597,WetDep_NH4_mgm2,2013,4,4.909286400673084,5.769566664285715,2013-04-01,1.1815110793902779,1.4214069753652272,0.8602802636126308,3.7340511030349823
598,WetDep_NH4_mgm2,2013,5,3.977092698042549,4.743871822695036,2013-05-01,1.1815110793902779,1.4214069753652272,0.7667791246524871,2.784293791185316
599,WetDep_NH4_mgm2,2013,6,3.1907860474079,3.8086427543859647,2013-06-01,1.1815110793902779,1.4214069753652272,0.6178567069780647,1.9971482735809793
600,WetDep_NH4_mgm2,2013,7,2.2397211796807874,2.508172776,2013-07-01,1.1815110793902779,1.4214069753652272,0.26845159631921245,1.1198617977386687
601,WetDep_NH4_mgm2,2013,8,3.168404503532975,2.8938115606060606,2013-08-01,1.1815110793902779,1.4214069753652272,0.2745929429269145,2.255070502972354
602,WetDep_NH4_mgm2,2013,9,2.825668418276581,2.8892696446280994,2013-09-01,1.1815110793902779,1.4214069753652272,0.06360122635151821,1.803160035502388
603,WetDep_NH4_mgm2,2013,10,2.7044729524251823,2.8348458802816903,2013-10-01,1.1815110793902779,1.4214069753652272,0.130372927856508,1.656266543949328
604,WetDep_NH4_mgm2,2013,11,2.2799431394751477,2.687055006849315,2013-11-01,1.1815110793902779,1.4214069753652272,0.40711186737416716,1.1013808497735345
605,WetDep_NH4_mgm2,2013,12,3.1402569427232407,3.7387770851063826,2013-12-01,1.1815110793902779,1.4214069753652272,0.5985201423831419,1.949661028662749
606,WetDep_NH4_mgm2,2014,1,1.763220597499494,2.022099945945946,2014-01-01,1.1815110793902779,1.4214069753652272,0.258879348446452,0.6163987257418813
607,WetDep_NH4_mgm2,2014,2,2.0951301562554407,2.5389975254237287,2014-02-01,1.1815110793902779,1.4214069753652272,0.44386736916828795,0.8832734523446928
608,WetDep_NH4_mgm2,2014,3,2.3163712109893697,2.760474611570248,2014-03-01,1.1815110793902779,1.4214069753652272,0.4441034005808784,1.124647449929849
609,WetDep_NH4_mgm2,2014,4,5.241901049237388,6.494648950704225,2014-04-01,1.1815110793902779,1.4214069753652272,1.2527479014668375,4.002913725802679
610,WetDep_NH4_mgm2,2014,5,4.172446960666176,4.844344821917809,2014-05-01,1.1815110793902779,1.4214069753652272,0.6718978612516331,3.0114148690456854
611,WetDep_NH4_mgm2,2014,6,3.392662535687436,3.7082220761904763,2014-06-01,1.1815110793902779,1.4214069753652272,0.31555954050304047,2.2996501782296375
612,WetDep_NH4_mgm2,2014,7,3.043887654596473,3.2947230620155037,2014-07-01,1.1815110793902779,1.4214069753652272,0.2508354074190309,1.9614813913297413
